DateTime,Date,Time,Day,Hour,Time_Of_Day,DateID
4/27/2025 0:00,4/27/2025,12:00:00 AM,Sunday,0,Night,20240597
4/27/2025 3:00,4/27/2025,3:00:00 AM,Sunday,3,Night,20240598
4/27/2025 6:00,4/27/2025,6:00:00 AM,Sunday,6,Morning,20240599
4/27/2025 9:00,4/27/2025,9:00:00 AM,Sunday,9,Morning,20240600
4/27/2025 12:00,4/27/2025,12:00:00 PM,Sunday,12,Afternoon,20240601
4/27/2025 15:00,4/27/2025,3:00:00 PM,Sunday,15,Afternoon,20240602
4/27/2025 18:00,4/27/2025,6:00:00 PM,Sunday,18,Evening,20240603
4/27/2025 21:00,4/27/2025,9:00:00 PM,Sunday,21,Night,20240604
4/28/2025 3:00,4/28/2025,3:00:00 AM,Monday,3,Night,20240605
4/28/2025 0:00,4/28/2025,12:00:00 AM,Monday,0,Night,20240606
4/30/2025 21:00,4/30/2025,9:00:00 PM,Wednesday,21,Night,20240607
5/1/2025 0:00,5/1/2025,12:00:00 AM,Thursday,0,Night,20240608
5/1/2025 15:00,5/1/2025,3:00:00 PM,Thursday,15,Afternoon,20240609
5/1/2025 3:00,5/1/2025,3:00:00 AM,Thursday,3,Night,20240610
5/1/2025 6:00,5/1/2025,6:00:00 AM,Thursday,6,Morning,20240611
5/1/2025 9:00,5/1/2025,9:00:00 AM,Thursday,9,Morning,20240612
5/1/2025 12:00,5/1/2025,12:00:00 PM,Thursday,12,Afternoon,20240613
4/28/2025 6:00,4/28/2025,6:00:00 AM,Monday,6,Morning,20240614
4/28/2025 9:00,4/28/2025,9:00:00 AM,Monday,9,Morning,20240615
4/28/2025 12:00,4/28/2025,12:00:00 PM,Monday,12,Afternoon,20240616
4/28/2025 15:00,4/28/2025,3:00:00 PM,Monday,15,Afternoon,20240617
4/28/2025 18:00,4/28/2025,6:00:00 PM,Monday,18,Evening,20240618
4/28/2025 21:00,4/28/2025,9:00:00 PM,Monday,21,Night,20240619
4/29/2025 0:00,4/29/2025,12:00:00 AM,Tuesday,0,Night,20240620
4/29/2025 3:00,4/29/2025,3:00:00 AM,Tuesday,3,Night,20240621
4/29/2025 6:00,4/29/2025,6:00:00 AM,Tuesday,6,Morning,20240622
4/29/2025 9:00,4/29/2025,9:00:00 AM,Tuesday,9,Morning,20240623
4/29/2025 12:00,4/29/2025,12:00:00 PM,Tuesday,12,Afternoon,20240624
4/29/2025 15:00,4/29/2025,3:00:00 PM,Tuesday,15,Afternoon,20240625
4/29/2025 18:00,4/29/2025,6:00:00 PM,Tuesday,18,Evening,20240626
4/29/2025 21:00,4/29/2025,9:00:00 PM,Tuesday,21,Night,20240627
4/30/2025 0:00,4/30/2025,12:00:00 AM,Wednesday,0,Night,20240628
4/30/2025 3:00,4/30/2025,3:00:00 AM,Wednesday,3,Night,20240629
4/30/2025 6:00,4/30/2025,6:00:00 AM,Wednesday,6,Morning,20240630
4/30/2025 9:00,4/30/2025,9:00:00 AM,Wednesday,9,Morning,20240631
4/30/2025 12:00,4/30/2025,12:00:00 PM,Wednesday,12,Afternoon,20240632
4/30/2025 15:00,4/30/2025,3:00:00 PM,Wednesday,15,Afternoon,20240633
4/30/2025 18:00,4/30/2025,6:00:00 PM,Wednesday,18,Evening,20240634
5/2/2025 6:00,5/2/2025,6:00:00 AM,Friday,6,Morning,20240635
5/1/2025 18:00,5/1/2025,6:00:00 PM,Thursday,18,Evening,20240636
5/1/2025 21:00,5/1/2025,9:00:00 PM,Thursday,21,Night,20240637
5/2/2025 0:00,5/2/2025,12:00:00 AM,Friday,0,Night,20240638
5/2/2025 3:00,5/2/2025,3:00:00 AM,Friday,3,Night,20240639
5/2/2025 9:00,5/2/2025,9:00:00 AM,Friday,9,Morning,20240640
